nom,prix,poids,image,site
"Poulet Entier – 1,8 kg",4250,1.8,https://baayguins.com/wp-content/uploads/2021/12/Poulets-1.8-324x324.jpg,baayguins.com
"Poulet Entier – 2,2 kg",5000,2.2,https://baayguins.com/wp-content/uploads/2021/12/Poulets-2-324x324.jpg,baayguins.com
"Poulet Entier – 1,6 kg",3850,1.6,https://baayguins.com/wp-content/uploads/2021/12/Poulets-1.6-324x324.jpg,baayguins.com
"Poulet Entier – 2,1 kg",4850,2.1,https://baayguins.com/wp-content/uploads/2021/12/Poulets-2-324x324.jpg,baayguins.com
"Poulet Entier – 1,9 kg",4500,1.9,https://baayguins.com/wp-content/uploads/2021/12/Poulets-1.9-324x324.jpg,baayguins.com
"Poulet Entier – 1,7 kg",4000,1.7,https://baayguins.com/wp-content/uploads/2021/12/Poulets-1.7-324x324.jpg,baayguins.com
"Poulet Entier – 1,4 KG",3500,1.4,https://baayguins.com/wp-content/uploads/2021/12/Poulets-1.4-324x324.jpg,baayguins.com
"Poulet Entier – 1,3 kg",3250,1.3,https://baayguins.com/wp-content/uploads/2021/12/Poulets-1.3-324x324.jpg,baayguins.com
"Poulet Entier – 1,5 kg",3700,1.5,https://baayguins.com/wp-content/uploads/2021/12/Poulets-1.5-324x324.jpg,baayguins.com
"Poulet Entier – 1,2 kg",3000,1.2,https://baayguins.com/wp-content/uploads/2021/12/Poulets-1.2-324x324.jpg,baayguins.com
"Poulet Entier – 1,1 kg",2750,1.1,https://baayguins.com/wp-content/uploads/2021/12/Poulets-1.1-324x324.jpg,baayguins.com
Poulet Entier – 1 kg,2500,1.0,https://baayguins.com/wp-content/uploads/2021/12/Coquelet-2-324x324.jpg,baayguins.com
Poulet Entier – 2 kg,4650,2.0,https://baayguins.com/wp-content/uploads/2021/12/Poulets-2-324x324.jpg,baayguins.com
