nom,prix,poids,image,site
Pilons de Poulet Ter’hal 1kg,3700,1,https://guinarshop.com/wp-content/uploads/2019/05/Pilon-filigrane-small-300x268.png,guinarshop.com
Poulet de Chair Entier Ter’hal 1kg,2700,1,https://guinarshop.com/wp-content/uploads/2019/07/Poulet-Congele%CC%81-Terhal-1kg-300x268.jpg,guinarshop.com
Cuisses de Poulet Ter’hal 1kg,2900,1,https://guinarshop.com/wp-content/uploads/2019/05/CuissesDePouletTerHal-filigrane-small-300x268.png,guinarshop.com
Blanc de Poulet Ter’hal 1kg,4500,1,https://guinarshop.com/wp-content/uploads/2019/07/BlancDePouletTerHal-300x268.jpg,guinarshop.com
"Poulet de Chair Entier Ter’hal 1,5kg",3600,1.5,https://guinarshop.com/wp-content/uploads/2019/07/Poulet-Congele%CC%81-Terhal-15kg-300x268.jpg,guinarshop.com
Ailes de Poulet Ter’hal 1kg,3000,1,https://guinarshop.com/wp-content/uploads/2019/07/AilesDePouletTerHal-300x268.jpg,guinarshop.com
"Poulet de Chair Entier Ter’hal 1,2kg",3100,1.2,https://guinarshop.com/wp-content/uploads/2019/05/Poulet-Congele%CC%81-Terhal-300x268.jpg,guinarshop.com
"Poulet Entier Gallior 1,5kg",3800,1.5,https://guinarshop.com/wp-content/uploads/2022/05/Gallior-300x300.jpg,guinarshop.com
"Poulet de Chair Entier Ter’hal 1,4kg",3300,1.4,https://guinarshop.com/wp-content/uploads/2019/05/Poulet-Congele%CC%81-Terhal-300x268.jpg,guinarshop.com
"Poulet Entier Gallior 1,7kg",4100,1.7,https://guinarshop.com/wp-content/uploads/2022/05/Gallior-300x300.jpg,guinarshop.com
"Poulet Entier Gallior 1,4kg",3700,1.4,https://guinarshop.com/wp-content/uploads/2022/05/Gallior-300x300.jpg,guinarshop.com
