nom,prix,poids,image,site
"Poulet Entier – 1,8 kg",4.250 CFA," 1,8 kg",https://baayguins.com/wp-content/uploads/2021/12/Poulets-1.8-324x324.jpg,baayguins.com
"Poulet Entier – 2,2 kg",5.000 CFA," 2,2 kg",https://baayguins.com/wp-content/uploads/2021/12/Poulets-2-324x324.jpg,baayguins.com
"Poulet Entier – 1,6 kg",3.850 CFA," 1,6 kg",https://baayguins.com/wp-content/uploads/2021/12/Poulets-1.6-324x324.jpg,baayguins.com
"Poulet Entier – 2,1 kg",4.850 CFA," 2,1 kg",https://baayguins.com/wp-content/uploads/2021/12/Poulets-2-324x324.jpg,baayguins.com
Pilons de Poulet,3.500 CFA,Pilons de Poulet,https://baayguins.com/wp-content/uploads/2021/12/800x800-02-324x324.jpg,baayguins.com
"Poulet Entier – 1,9 kg",4.500 CFA," 1,9 kg",https://baayguins.com/wp-content/uploads/2021/12/Poulets-1.9-324x324.jpg,baayguins.com
"Poulet Entier – 1,7 kg",4.000 CFA," 1,7 kg",https://baayguins.com/wp-content/uploads/2021/12/Poulets-1.7-324x324.jpg,baayguins.com
"Poulet Entier – 1,4 KG",3.500 CFA," 1,4 KG",https://baayguins.com/wp-content/uploads/2021/12/Poulets-1.4-324x324.jpg,baayguins.com
"Poulet Entier – 1,3 kg",3.250 CFA," 1,3 kg",https://baayguins.com/wp-content/uploads/2021/12/Poulets-1.3-324x324.jpg,baayguins.com
"Poulet Entier – 1,5 kg",3.700 CFA," 1,5 kg",https://baayguins.com/wp-content/uploads/2021/12/Poulets-1.5-324x324.jpg,baayguins.com
Coquelet,2.600 CFA,Coquelet,https://baayguins.com/wp-content/uploads/2021/12/Coquelet-1-324x324.jpg,baayguins.com
"Poulet Entier – 1,2 kg",3.000 CFA," 1,2 kg",https://baayguins.com/wp-content/uploads/2021/12/Poulets-1.2-324x324.jpg,baayguins.com
Demi Poulet,2.200 CFA,Demi Poulet,https://baayguins.com/wp-content/uploads/2021/12/Demi-Poulet-324x324.jpg,baayguins.com
"Poulet Entier – 1,1 kg",2.750 CFA," 1,1 kg",https://baayguins.com/wp-content/uploads/2021/12/Poulets-1.1-324x324.jpg,baayguins.com
Poulet Entier – 1 kg,2.500 CFA, 1 kg,https://baayguins.com/wp-content/uploads/2021/12/Coquelet-2-324x324.jpg,baayguins.com
Poulet Entier – 2 kg,4.650 CFA, 2 kg,https://baayguins.com/wp-content/uploads/2021/12/Poulets-2-324x324.jpg,baayguins.com
